size        	pev	         	         	 	               quotient							complex	edo
category    	     	   2     	   3     	 	                      n	/	d                      	cents          	name	name
smallDiesis 	    [	 -840    	 530     	⟩	  7.48626164114344e+252	/	7.33155940312959e+252  	        36.150¢	10c3S	530e3S
smallDiesis 	    [	 -924    	 583     	⟩	 1.451080485228127e+278	/	1.418129833677085e+278 	        39.766¢	11c3S	583e3S
smallDiesis 	    [	-1008    	 636     	⟩	 2.812664952875311e+303	/	2.7430620343968443e+303	        43.381¢	12c3S	636e3S
smallDiesis 	    [	 1100    	 -694    	⟩	       (too big for JS)	/	(too big for JS)       	        43.229¢	13c3S	694e3S
smallDiesis 	    [	 1184    	 -747    	⟩	       (too big for JS)	/	(too big for JS)       	        39.614¢	14c3S	747e3S
smallDiesis 	    [	 1268    	 -800    	⟩	       (too big for JS)	/	(too big for JS)       	        35.999¢	15c3S	800e3S
smallDiesis 	    [	-1325    	 836     	⟩	       (too big for JS)	/	(too big for JS)       	        34.381¢	16c3S	836e3S
smallDiesis 	    [	-1409    	 889     	⟩	       (too big for JS)	/	(too big for JS)       	        37.996¢	17c3S	889e3S
smallDiesis 	    [	-1493    	 942     	⟩	       (too big for JS)	/	(too big for JS)       	        41.611¢	18c3S	942e3S
smallDiesis 	    [	 1585    	-1000    	⟩	       (too big for JS)	/	(too big for JS)       	        44.999¢	19c3S	1000e3S
smallDiesis 	    [	 1669    	-1053    	⟩	       (too big for JS)	/	(too big for JS)       	        41.384¢	20c3S	1053e3S
smallDiesis 	    [	 1753    	-1106    	⟩	       (too big for JS)	/	(too big for JS)       	        37.769¢	21c3S	1106e3S
smallDiesis 	    [	 1837    	-1159    	⟩	       (too big for JS)	/	(too big for JS)       	        34.154¢	22c3S	1159e3S
smallDiesis 	    [	-1894    	 1195    	⟩	       (too big for JS)	/	(too big for JS)       	        36.226¢	23c3S	1195e3S
smallDiesis 	    [	-1978    	 1248    	⟩	       (too big for JS)	/	(too big for JS)       	        39.841¢	24c3S	1248e3S
smallDiesis 	    [	-2062    	 1301    	⟩	       (too big for JS)	/	(too big for JS)       	        43.456¢	25c3S	1301e3S

